"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CSS","CSS Industries, Inc.","4.72","41785461.44","n/a","n/a","Consumer Services","Consumer: Greeting Cards","https://www.nasdaq.com/symbol/css",
"CTS","CTS Corporation","29.08","950008733.08","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/cts",
"CUBE","CubeSmart","35.26","6785773001.78","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cube",
"CUB","Cubic Corporation","70.81","2207748593.66","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cub",
"CFR","Cullen/Frost Bankers, Inc.","88.05","5516850322.05","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cfr",
"CFR^A","Cullen/Frost Bankers, Inc.","26.16","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cfr^a",
"CULP","Culp, Inc.","15.86","196521260","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/culp",
"CMI","Cummins Inc.","149.96","23663688000","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cmi",
"CURO","CURO Group Holdings Corp.","13.35","604324622.7","n/a","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/curo",
"CW","Curtiss-Wright Corporation","120.69","5157095527.62","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cw",
"SRF","Cushing Energy Income Fund (The)","6.1064","15113272.8296","n/a","2012","n/a","n/a","https://www.nasdaq.com/symbol/srf",
"SRV","Cushing MLP & Infrastructure Total Return Fund","9.82","66130845.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/srv",
"SZC","Cushing Renaissance Fund (The)","13.16","102715681.88","n/a","2012","n/a","n/a","https://www.nasdaq.com/symbol/szc",
"CWK","Cushman & Wakefield plc","17.54","3806538622.84","n/a","2018","Finance","Real Estate","https://www.nasdaq.com/symbol/cwk",
"CUBI","Customers Bancorp, Inc","19.4","605835266.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cubi",
"CUBI^C","Customers Bancorp, Inc","26.161","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cubi^c",
